IMDbID,Genre,Released,Title,IMDbRating,Type,Synopsis,ImageURL
tt10464930,"['Comedy', 'Drama', 'Thriller']",2020,Palindrome,8.2,movie,,"['https://m.media-amazon.com/images/M/MV5BOTNkNTU4YTctNjlkNi00MDcxLWJiMmYtNmRhNTJkZmVmZjE4XkEyXkFqcGdeQXVyNDM2MDY4NzQ@._V1_UX182_CR0,0,182,268_AL_.jpg']"
tt9865446,"['Sci-Fi', 'Thriller']",2019,Siege,8.2,movie,"After a citywide lockdown to make the city crime free, Aditya, a soldier from the city forces, must find a way to protect the people of the city from the commander and his forces.","['https://m.media-amazon.com/images/M/MV5BYWM0YWEyYzQtNTAyYS00MTg3LTlhOTEtODc0MTE3M2Q1ZWM4XkEyXkFqcGdeQXVyOTk3MDU2MDA@._V1_UX182_CR0,0,182,268_AL_.jpg']"
tt7993812,['Thriller'],2019,Thunderbird,8.2,movie,A reclusive young fisherman goes looking for his missing sister in the rugged Pacific Northwest.,"['https://m.media-amazon.com/images/M/MV5BZGU5NWQ3NjUtNDcwOS00YmI5LWJlZTctNGIyZDA3MTk1NzQ4XkEyXkFqcGdeQXVyNzk0MDQ1NjY@._V1_UX182_CR0,0,182,268_AL_.jpg']"
tt7098662,['Thriller'],2019,Stranger in the Night,8.2,movie,Cara is given the ultimatum to uncover a twenty year old missing person case or else her and her friends are going to die.,"['https://m.media-amazon.com/images/M/MV5BMDhiNTMwNGQtYTBmNi00NjU2LWI1ZGYtZDNkY2RlMGRhNjk4XkEyXkFqcGdeQXVyNzQ2NjI5NTU@._V1_UX182_CR0,0,182,268_AL_.jpg']"
tt7233828,"['Drama', 'Mystery', 'Thriller']",2018,The System,8.2,movie,"Vastly different lives and perspectives become intertwined after a police officer suffering from reoccurring PTSD mistakenly shoots a deaf African-American kid, exposing layers of racial ...","['https://m.media-amazon.com/images/M/MV5BZDMzZWNjODctOTMzNC00Y2E4LTgwNTAtMGEyOGJjMDEwOTRjXkEyXkFqcGdeQXVyMTE5MzQyMDU@._V1_UX182_CR0,0,182,268_AL_.jpg']"
tt3355486,"['Drama', 'Mystery', 'Thriller']",2018,The Defector,8.2,movie,"1967, the height of the Cold War. Prime Minister Holt is embroiled in a power struggle when his spymaster discovers Red sympathizers embedded within his administration.","['https://m.media-amazon.com/images/M/MV5BZDQzNmI4ODMtYTQ4Ny00ZGM1LWExZWQtNjQwOTE1MzE3Mzg5L2ltYWdlXkEyXkFqcGdeQXVyMzYzMzAxNjI@._V1_UX182_CR0,0,182,268_AL_.jpg']"
tt8098950,['Thriller'],2018,#Trending,8.2,tvMovie,"Brazenly breaking all the barriers of technology, a tech wizard sends a social media star inside the Internet. Pursued by the feds, hackers, and an insatiable viewing public, she discovers ...","['https://m.media-amazon.com/images/M/MV5BNDE0NWY1YWEtODM3ZC00MWE4LThlNzctZTQ1ZjdmMGFjYjBlXkEyXkFqcGdeQXVyMTI5OTAxNDg@._V1_UY268_CR4,0,182,268_AL_.jpg']"
tt6275084,['Thriller'],2017,A Night at Cagney's,8.2,tvMovie,"When widower GLENN NICHOLS kills the man responsible for accidentally taking his wife's life, he gets paid an unwanted visit.","['https://m.media-amazon.com/images/M/MV5BZmQ0MTVlZmMtMmYwMy00ZjY2LTljOTMtMmQ0OWZiNjY0MTY1L2ltYWdlXkEyXkFqcGdeQXVyNTcyNzc5ODc@._V1_UY268_CR3,0,182,268_AL_.jpg']"
tt6260504,"['Documentary', 'Drama', 'Thriller']",2016,Night Letter,8.2,movie,"A young documentary filmmaker creates a Telegram Channel named ""Shabnaameh"" and publish some US government activities in Iran. These activities were done in order to execute ""Change Project"" in Iran.","['https://m.media-amazon.com/images/M/MV5BMWE2MTdhOGQtZTljOS00N2MyLTk0N2EtNTNkODQ0YzdiMmM1L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMjQxMTA1NDM@._V1_UY268_CR4,0,182,268_AL_.jpg']"
tt5492048,['Thriller'],2016,Serial,8.2,movie,,"['https://m.media-amazon.com/images/M/MV5BOWYxZjNjOTEtY2IzMi00NGVjLTg2NzAtMGNmNGZlOGIwODAzXkEyXkFqcGdeQXVyNTcyNDk5MzM@._V1_UX182_CR0,0,182,268_AL_.jpg']"
